contigs_cluasted1;size=4	332490	No	NA	310	1	247	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted2;size=1	285280	No	NA	358	71	12	Medium-quality	Genome-fragment	75.05	AAI-based (medium-confidence)	0.0	1.0	
contigs_cluasted3;size=6	283632	No	NA	270	3	211	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted4;size=6	274914	No	NA	239	8	141	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted5;size=1	235666	No	NA	247	35	2	High-quality	High-quality	95.04	AAI-based (medium-confidence)	0.0	1.0	
contigs_cluasted6;size=1	234918	No	NA	234	2	150	High-quality	High-quality	95.49	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted7;size=5	220911	No	NA	216	6	140	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted8;size=1	218522	No	NA	224	1	142	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted9;size=3	210184	No	NA	211	1	167	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted10;size=2	205797	No	NA	181	1	146	Medium-quality	Genome-fragment	86.53	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted11;size=1	204712	No	NA	333	42	5	High-quality	High-quality	94.27	AAI-based (high-confidence)	0.0	1.0	
contigs_cluasted12;size=1	201691	No	NA	273	43	6	High-quality	High-quality	93.63	AAI-based (high-confidence)	0.0	1.0	
contigs_cluasted13;size=6	201558	No	NA	207	2	131	Medium-quality	Genome-fragment	86.09	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted14;size=1	192768	No	NA	199	3	162	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted15;size=3	191644	No	NA	333	29	3	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
contigs_cluasted16;size=1	183895	No	NA	215	20	7	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contigs_cluasted17;size=4	183803	No	NA	233	30	4	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
contigs_cluasted18;size=1	183145	No	NA	190	24	1	Medium-quality	Genome-fragment	73.86	AAI-based (medium-confidence)	0.0	1.0	
contigs_cluasted19;size=2	180860	No	NA	258	21	5	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
contigs_cluasted20;size=1	177369	No	NA	153	2	120	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted21;size=2	175609	No	NA	165	1	111	Medium-quality	Genome-fragment	59.74	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted22;size=1	164182	No	NA	215	43	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contigs_cluasted23;size=1	162052	No	NA	210	42	2	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
contigs_cluasted24;size=1	160969	No	NA	187	19	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
contigs_cluasted25;size=2	160116	No	NA	138	5	84	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
contigs_cluasted26;size=1	156765	No	NA	211	30	7	High-quality	High-quality	92.3	AAI-based (high-confidence)	0.0	1.0	
contigs_cluasted27;size=2	154838	No	NA	197	18	3	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
